### Misc Artifacts ###
ciacia_annal;Cia-Cia Annal;;;;;;;;;;;;;x
ciacia_annal_desc;A strange book written in a foreign tongue of a distant nation known as "Bu-Ton" said have adopted the Hangul Script while much of the words appear illegible the novelty has become the fascination of the court wondering what it all means.;;;;;;;;;;;;;x
commander_sword;Pattern Sword;;;;;;;;;;;;;x
commander_sword_desc;Said to be high-quality sword based off of a legendary admiral's decorated blade, it has since become a symbol of high regard for anyone who receives this blade from the Commonwealth President, May Excellence serve you well!;;;;;;;;;;;;;x
australian_artwork;Australian Artwork;;;;;;;;;;;;;x
australian_artwork_name;[offmap_china.GetShortName] Artwork;;;;;;;;;;;;;x
australian_artwork_desc;A painting from Australia depicting the local scenery from the Lands Down-Under.;;;;;;;;;;;;;x
australian_book_poetry;Australian Poetry;;;;;;;;;;;;;x
australian_book_poetry_name;[offmap_china.GetShortName] Poetry;;;;;;;;;;;;;x
australian_book_poetry_desc;A book of Australian Poetry said to invoke the spirit of the Lands Down-Under in prose.;;;;;;;;;;;;;x
australian_book_health;Australian Medical Journal;Compendium chinois de médecine;Chinesische Medizin;;Compendio de medicina china;;;;;;;;;x
australian_book_health_name;[offmap_china.GetShortName] Medical Journal;Compendium de la médecine de la [offmap_china.GetShortName];Kompendium der Medizin von [Root.Offmap.GetShortName];;Compendio de medicina de [Root.Offmap.GetShortName];;;;;;;;;x
australian_book_health_desc;This beautifully bound book tells of the many fascinating studies of medicine conducted by those in the Commonwealth and its various uses.;Ce livre joliment relié décrit les nombreux aspects fascinants de la médecine chinoise et de ses diverses utilisations.;Dieses schön gebundene Buch erzählt von den vielen faszinierenden Aspekten der chinesischen Medizin und ihrer verschiedenen Anwendungen.;;Este hermoso libro nos cuenta muchos de los fascinantes aspectos de la medicina china y sus diversos usos.;;;;;;;;;x
australian_book_law;Australian Treatise on Law;Traité chinois sur le droit;Chinesische Gesetze;;Tratado de ley china;;;;;;;;;x
australian_book_law_name;[offmap_china.GetShortName] Treatise on Law;Traité sur le droit de la [offmap_china.GetShortName];Gesetzesabhandlung von [Root.Offmap.GetShortName];;Tratado de ley de [Root.Offmap.GetShortName];;;;;;;;;x
australian_book_law_desc;An ornate book bound with silk. Its beautiful formulations and elegant phrasings describe the Common Law of the Commonwealth in mesmerizing detail.;Un livre orné de soie. Ses formidables formulations et ses phrasés élégants décrivent la loi confucéenne avec des détails fascinants.;Ein aufwändig verziertes Buch, das mit Seide gebunden ist. Seine geschmeidigen Formulierungen und eleganten Phrasen beschreiben das konfuzianische Gesetz mit faszinierenden Details.;;En adornado libro envuelto en seda. Sus hermosas fórmulas y frases elegantes describen la ley confuciana con un detalle hipnótico.;;;;;;;;;x
australian_book_history;Australian History Book;Livre d'histoire chinois;Chinesische Geschichte;;Libro de historia china;;;;;;;;;x
australian_book_history_name;[offmap_china.GetShortName] Histories;Histoire de la [offmap_china.GetShortName];Geschichtsbuch von [Root.Offmap.GetShortName];;Libro de historia de [Root.Offmap.GetShortName];;;;;;;;;x
australian_book_history_desc;A book detailing the storied History of Rough Riders and Hardy Peoples of the Land Down-Under and how they came to view themselves as a Great Commonwealth of People.;Un livre détaillant la vie des empereurs d'une des grandes dynasties de Chine. Pas une lecture très excitante, mais c'est inspirant d'avoir une dynastie aussi grande que la leur.;Ein Buch, das das Leben der Kaiser der großen Dynastien Ethiopias darstellt. Nicht sehr aufregend zu lesen, aber fördert den Gedanken, eine Dynastie so großartig wie die ihre zu haben.;;Un libro que narra las vidas de los emperadores de una de las grandes dinastías de Ethiopia. No es una lectura muy emocionante, pero inspira la idea de tener una dinastía tan grande como la suya.;;;;;;;;;x
australian_book_economy;Australian Economic Chronicle;Chronique économique chinoise;Chinesische Wirtschaft;;Crónica económica china;;;;;;;;;x
australian_book_economy_name;[offmap_china.Governor.GetFirstName]'s Chronicle of Economic Principle;Chronique de principes économiques de [offmap_china.Governor.GetFirstName];Chronik wirtschaftlicher Grundsätze von [Root.GetFirstName];;Crónica de principios económicos de [Root.GetFirstName];;;;;;;;;x
australian_book_economy_desc;A beautiful book bound with great care. Its outlining of the general principles of economy and trade seems incredibly insightful.;Un beau livre relié avec beaucoup de soin. La définition des principes généraux de l'économie et du commerce semble incroyablement pertinente.;Ein schönes Buch, das mit großer Sorgfalt gebunden ist. Seine Beschreibung der allgemeinen Grundsätze der Wirtschaft und des Handels sind sehr aufschlussreich.;;Un hermoso libro envuelto con gran cuidado. Sus explicaciones de los principios generales de economía y comercio son muy reveladoras.;;;;;;;;;x
